txt_id,Value,Class
1,0.75,Accuracy
2,0.7,Accuracy
3,0.52,Accuracy
4,0.81,Accuracy
5,0.52,Accuracy
6,0.57,Accuracy
7,0.61,Accuracy
8,0.23,Accuracy
9,0.82,Accuracy
10,0.6,Accuracy
11,0.71,Accuracy
12,0.9,Accuracy
13,0.39,Accuracy
14,0.51,Accuracy
1,0.38,F1
2,0.41,F1
3,0.16,F1
4,0.52,F1
5,0.12,F1
6,0.27,F1
7,0.31,F1
8,0.46,F1
9,0.47,F1
10,0.34,F1
11,0.4,F1
12,0.56,F1
13,0.14,F1
14,0.28,F1
1,0.7908,Accuracy
2,0.5458,Accuracy
3,0.864,Accuracy
4,0.5058,Accuracy
5,0.938,Accuracy
6,0.7275,Accuracy
7,0.68,Accuracy
8,0.7979,Accuracy
9,0.5805,Accuracy
10,0.7432,Accuracy
11,0.7043,Accuracy
12,0.5298,Accuracy
13,0.8786,Accuracy
14,0.8201,Accuracy
1,0.3569,F1
2,0.4323,F1
3,0.3183,F1
4,0.4889,F1
5,0.313,F1
6,0.3085,F1
7,0.3679,F1
8,0.4415,F1
9,0.476,F1
10,0.4639,F1
11,0.4058,F1
12,0.5919,F1
13,0.3244,F1
14,0.3385,F1
1,0.7565,Accuracy
2,0.5252,Accuracy
3,0.8405,Accuracy
4,0.4082,Accuracy
5,0.9141,Accuracy
6,0.7275,Accuracy
7,0.6406,Accuracy
8,0.7787,Accuracy
9,0.5558,Accuracy
10,0.6492,Accuracy
11,0.7192,Accuracy
12,0.4199,Accuracy
13,0.8862,Accuracy
14,0.804,Accuracy
1,0.2724,F1
2,0.3775,F1
3,0.2256,F1
4,0.4544,F1
5,0.1878,F1
6,0.35,F1
7,0.2716,F1
8,0.3841,F1
9,0.4303,F1
10,0.3005,F1
11,0.4025,F1
12,0.4942,F1
13,0.2917,F1
14,0.2854,F1