txt_id,F1score,Class
2,0.41,Co-author
4,0.52,Co-author
6,0.27,Co-author
7,0.31,Co-author
8,0.46,Co-author
9,0.47,Co-author
10,0.34,Co-author
11,0.4,Co-author
2,0.4323,Paper-Title
4,0.4889,Paper-Title
6,0.3085,Paper-Title
7,0.3679,Paper-Title
8,0.4415,Paper-Title
9,0.476,Paper-Title
10,0.4639,Paper-Title
11,0.4058,Paper-Title
2,0.3775,Journal-Title
4,0.4544,Journal-Title
6,0.35,Journal-Title
7,0.2716,Journal-Title
8,0.3841,Journal-Title
9,0.4303,Journal-Title
10,0.3005,Journal-Title
11,0.4025,Journal-Title
2,0.57,hybrid
4,0.61,hybrid
6,0.44,hybrid
7,0.53,hybrid
8,0.61,hybrid
9,0.61,hybrid
10,0.57,hybrid
11,0.55,hybrid